series_num,status,year,doy,datetime,rocket,pot_name,pot_lat,pot_lon,orbit,mass,dst_mean,dst
68,0,2002,300,2002-10-27 03:17:00.000000,长征四号乙（遥6）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,太阳同步轨道,资源二号卫星（02星）（尖兵三号普查卫星02星） ,,
69,0,2002,363,2002-12-29 16:40:03.543000,长征二号Ｆ（遥4）,酒泉卫星发射中心九十一号发射阵地（九十一号发射工位）40°57′28″N,40.9579,100.29102,近地椭圆轨道,神舟四号试验飞船 ,,
70,0,2003,144,2003-05-24 16:34:04.000000,长征三号甲（遥7）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,超同步转移轨道,北斗导航试验卫星（1C星） ,,
71,0,2003,288,2003-10-15 01:00:03.497000,长征二号Ｆ（遥5）,酒泉卫星发射中心九十一号发射阵地（九十一号发射工位）40°57′28″N,40.9579,100.29102,近地椭圆轨道,神舟五号载人航天飞船（杨利伟） ,,
72,0,2003,294,2003-10-21 03:16:00.000000,长征四号乙（遥4）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,太阳同步轨道,中巴地球资源卫星（02星）（资源一号卫星（02星））（ 中国／ 巴西）  创新一号（01星）  ,,
73,0,2003,306,2003-11-02 07:20:04.000000,长征二号丁（遥4）,酒泉卫星发射中心九十四号发射阵地（九十四号发射工位）40°57′38″N,40.96069,100.29818,近地轨道,尖兵四号摄影测绘卫星01星（返回式遥感卫星3号01星）（科学探测与技术试验卫星） ,,
74,0,2003,318,2003-11-14 16:01:00.000000,长征三号甲（遥8）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,超同步转移轨道,神通一号战略通信卫星（中星20号通信卫星） ,,
75,0,2003,363,2003-12-29 19:06:18.000000,长征二号丙／固体发动机（遥1）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,高椭圆轨道,探测一号卫星 ,,
76,0,2004,109,2004-04-18 15:59:03.521000,长征二号丙（遥14）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,太阳同步轨道,哈尔滨工业大学探索一号卫星（试验卫星一号）  清华大学、航天清华纳星一号科学实验小卫星  ,,
77,0,2004,207,2004-07-25 07:05:18.000000,长征二号丙／固体发动机（遥2）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,高椭圆极轨道,探测二号卫星 ,,
78,0,2004,242,2004-08-29 07:50:05.000000,长征二号丙（遥12）,酒泉卫星发射中心九十四号发射阵地（九十四号发射工位）40°57′38″N,40.96069,100.29818,近地轨道,尖兵二号国土详查卫星01星（返回式遥感卫星4号01星）（科学探测与技术试验卫星） ,,
